Station Code,Monitoring Location,State,Type,full_address,Latitude,Longitude,Avg_Temp,Avg_Humidity,Avg_Wind,Weather_Main,Region_Cluster,Temperature (°C) Min,Temperature (°C) Max,Dissolved Oxygen(mg/L) Min,Dissolved Oxygen(mg/L) Max,pH Min,pH Max,Conductivity(µmho/cm) Min,Conductivity(µmho/cm) Max,BOD(mg/L) Min,BOD(mg/L) Max,Nitrate N(mg/L) Min,Nitrate N(mg/L) Max,Fecal Coliform(MPN/100ml) Min,Fecal Coliform(MPN/100ml) Max,Total Coliform(MPN/100ml) Min,Total Coliform(MPN/100ml) Max,Fecal Streptococci(MPN/100ml) Min,Fecal Streptococci(MPN/100ml) Max,WQI_Min,WQI_Max,WQI_Average
5139.0,"River Jamuna At Doboka Near Bridge, Dist. Hojai",Assam,,"River Jamuna At Doboka Near Bridge, Dist. Hojai, Assam, India",26.0968806,92.7498268,25.47,98.0,1.72,Clouds,3,19.0,30.0,5.0,6.9,6.9,7.6,128.0,164.0,2.1,2.4,0.6,1.6,360.0,940.0,1100.0,2000.0,5.957692307692308,290.0,31.630799413437906,35.4434725396853,33.5371359765616
5140.0,"River Bondanjan, Sluice Gate, Birkuchi Narengi Tiniali, Kharghuli, No. 2",Assam,,"River Bondanjan, Sluice Gate, Birkuchi Narengi Tiniali, Kharghuli, No. 2, Assam, India",26.1862201,91.8440259,27.86,95.0,1.83,Clouds,3,18.0,30.0,4.5,5.4,6.9,7.4,116.0,178.0,2.0,2.6,0.6,2.0,95.31980715146645,2100.0,395.1527835914609,3600.0,5.957692307692308,490.0,31.49892554542419,38.60362306826,35.051274306842096
5141.0,"River Basistha Basistha Chariali, Nutan Bazaar,",Assam,,"River Basistha Basistha Chariali, Nutan Bazaar,, Assam, India",26.1080728,91.7862885,27.86,96.0,1.24,Clouds,3,19.0,33.0,4.8,7.5,6.9,7.8,130.0,168.0,2.0,2.6,0.4,1.4,95.31980715146645,2100.0,395.1527835914609,3600.0,5.957692307692308,490.0,31.02892696258369,37.66538659960642,34.34715678109505
5142.0,"River Pamohi Gachuk, Pamohi Road, Guwahati",Assam,,"River Pamohi Gachuk, Pamohi Road, Guwahati, Assam, India",26.104228,91.6964542,27.99,94.0,0.0,Mist,3,21.0,34.0,4.3,5.4,7.0,7.5,190.0,278.0,2.0,2.7,0.6,2.2,95.31980715146645,2000.0,2400.0,3500.0,5.957692307692308,490.0,32.393947089080754,39.984208026111865,36.189077557596306
5144.0,River Kalanadi Near Bamunjuli Bridge Crossing At Mangaldoi Bhutiachang,Assam,,"River Kalanadi Near Bamunjuli Bridge Crossing At Mangaldoi Bhutiachang, Assam, India",26.7838327,91.8438858,26.22,89.0,0.8,Clouds,3,18.0,29.024965940054496,8.6,8.6,7.2,7.2,194.0,194.0,2.1,2.1,0.9,0.9,95.31980715146645,910.0,2000.0,2000.0,5.957692307692308,290.0,27.755691459742582,27.99693429046437,27.876312875103476
3791.0,"River Kaliani Near Kanaighat Bridge, Kanaighat",Assam,,"River Kaliani Near Kanaighat Bridge, Kanaighat, Assam, India",26.2006043,92.9375739,23.95,98.0,1.65,Clouds,3,19.0,31.0,5.8,9.8,7.0,7.7,120.0,148.0,2.0,2.6,0.5,2.0,360.0,730.0,910.0,1500.0,5.957692307692308,240.0,30.150821189093595,33.14752522877234,31.649173208932964
3796.0,River Kuji (Near New Bogagigaon) Near Water Intake Point For Nf Railway,Assam,,"River Kuji (Near New Bogagigaon) Near Water Intake Point For Nf Railway, Assam, India",26.2006043,92.9375739,23.95,98.0,1.65,Clouds,3,20.0,36.0,5.2,6.1,6.8,7.3,140.0,182.0,2.0,2.6,0.6,2.0,360.0,1100.0,1100.0,2100.0,5.957692307692308,290.0,29.919159974942726,36.642831828757245,33.280995901849984
3797.0,River Manas (Santoshpur) Near Lengtisinga,Assam,,"River Manas (Santoshpur) Near Lengtisinga, Assam, India",26.3201097,90.7366489,28.14,81.0,2.76,Clouds,3,19.0,34.0,5.2,5.6,6.8,7.6,132.0,146.0,2.0,2.7,0.6,1.6,600.0,910.0,1100.0,2100.0,5.957692307692308,290.0,29.990228695996063,39.90752593412638,34.948877315061225
3799.0,River Killing In Morigaon District,Assam,,"River Killing In Morigaon District, Assam, India",26.2599654,92.2630393,25.97,94.0,2.28,Clouds,3,16.0,32.0,5.2,10.9,6.9,7.4,84.0,108.0,1.8,2.5,0.6,1.9,300.0,1100.0,910.0,2100.0,5.957692307692308,490.0,28.836347689653685,28.994256418130448,28.915302053892066
3810.0,River Kulsi At Chaygaon Near Nh37 Crossing,Assam,,"River Kulsi At Chaygaon Near Nh37 Crossing, Assam, India",26.0164894,91.3216731,28.01,94.0,1.05,Clouds,3,20.0,34.0,5.9,9.1,7.1,7.8,96.0,122.0,2.3,2.7,0.7,2.0,610.0,1100.0,1100.0,2100.0,5.957692307692308,290.0,33.12678706716153,35.74165064029159,34.43421885372656
3811.0,River Puthimari Near Puthimari Chowk At Nh Crossing,Assam,,"River Puthimari Near Puthimari Chowk At Nh Crossing, Assam, India",26.3610943,91.6627091,27.99,89.0,2.44,Clouds,3,19.0,34.0,5.7,8.3,7.0,8.0,140.0,178.0,2.1,2.7,0.6,1.2,620.0,930.0,1400.0,2300.0,5.957692307692308,290.0,31.209702725526746,38.0577417230036,34.63372222426517
4344.0,"River Tihu (Near Bridge Along Nh-31) Tihu, Nalbari",Assam,,"River Tihu (Near Bridge Along Nh-31) Tihu, Nalbari, Assam, India",26.475753,91.2674411,27.23,87.0,3.2,Clouds,3,20.0,32.0,5.0,8.7,6.8,7.7,105.0,146.0,2.0,2.5,0.6,1.0,610.0,930.0,1400.0,2000.0,5.957692307692308,290.0,30.302536242402663,34.045636084192616,32.17408616329764
4345.0,"River Singra (Near Bridge Along Nh-37) Boko, Kamrup",Assam,,"River Singra (Near Bridge Along Nh-37) Boko, Kamrup, Assam, India",26.0164894,91.3216731,28.01,94.0,1.05,Clouds,3,19.0,34.0,5.5,10.4,6.9,7.3,102.0,118.0,2.0,2.5,0.6,1.8,360.0,940.0,910.0,2100.0,5.957692307692308,240.0,30.036537167534707,29.133739643069354,29.585138405302033
5599.0,River Gadadhar At Golkganj Bridge,Assam,,"River Gadadhar At Golkganj Bridge, Assam, India",26.3100825,89.8294313,26.55,91.0,1.55,Clouds,3,17.0,32.0,5.3,5.6,6.8,7.4,120.0,140.0,2.0,2.3,0.6,1.0,360.0,1100.0,1100.0,2000.0,5.957692307692308,290.0,29.764930979601292,35.49008558224074,32.62750828092101
5600.0,River Namdang Near Bridge At Hati Patty Geleky,Assam,,"River Namdang Near Bridge At Hati Patty Geleky, Assam, India",26.95013096262448,94.54600366876429,26.08,91.0,2.13,Clouds,3,18.0,31.0,5.0,6.6,6.5,7.0,132.0,208.0,1.7,2.5,0.6,1.1,300.0,360.0,720.0,910.0,5.957692307692308,140.0,25.999181187175374,33.05169722591566,29.525439206545517
5601.0,River Namdang At Kalugaon,Assam,,"River Namdang At Kalugaon, Assam, India",26.95013096262448,94.54600366876429,26.08,91.0,2.13,Clouds,3,18.0,30.0,5.1,7.2,6.5,7.2,118.0,188.0,2.1,2.6,0.7,1.0,300.0,720.0,730.0,1400.0,5.957692307692308,260.0,29.138856169493142,34.21452977723071,31.676692973361924
5602.0,"River Kapili At Kheroni Ghat Near Bridge, West Karbi Anglong , Kheroni",Assam,,"River Kapili At Kheroni Ghat Near Bridge, West Karbi Anglong , Kheroni, Assam, India",25.8532698,92.8826534,25.14,96.0,2.23,Clouds,3,22.0,29.0,5.3,8.0,6.8,7.6,118.0,142.0,2.2,2.5,0.6,0.9,720.0,930.0,1400.0,2000.0,5.957692307692308,460.0,31.517531703836465,34.540956447183284,33.02924407550987
5603.0,"River Daloo At Daloo, Cachar",Assam,,"River Daloo At Daloo, Cachar, Assam, India",24.92214,92.740791,24.78,96.0,1.1,Clouds,3,22.0,28.0,5.0,5.6,7.2,7.4,128.0,142.0,2.1,2.7,0.6,1.0,300.0,930.0,620.0,2000.0,5.957692307692308,290.0,33.35349127672739,38.729963805445294,36.041727541086345
5604.0,"River Ego (Simen) Near Simenchapori Bridge,Dhemaji",Assam,,"River Ego (Simen) Near Simenchapori Bridge,Dhemaji, Assam, India",27.7083775,94.861239,26.95,97.0,0.93,Clouds,3,22.0,24.0,5.8,8.6,7.0,8.0,148.0,198.0,2.0,2.3,0.6,0.8,300.0,910.0,620.0,2000.0,5.957692307692308,290.0,30.13585106019229,34.283402223628634,32.20962664191046
5605.0,River Disang At Nangalmara Ghat,Assam,,"River Disang At Nangalmara Ghat, Assam, India",27.08399123711797,94.94710556010504,25.84,93.0,1.35,Clouds,3,17.0,29.0,5.5,7.4,7.0,7.5,126.0,176.0,1.8,2.5,0.7,1.1,360.0,910.0,730.0,2800.0,5.957692307692308,350.0,28.975177472884187,34.88946177400414,31.932319623444165
5606.0,River Dikhow At Simaluguri,Assam,,"River Dikhow At Simaluguri, Assam, India",26.9130228,94.737131,26.05,92.0,1.27,Rain,3,20.0,29.0,6.5,7.9,7.0,7.8,120.0,156.0,1.6,2.7,0.6,1.0,720.0,1100.0,1400.0,2800.0,5.957692307692308,420.0,25.892709520795798,37.55791343800529,31.725311479400546
5607.0,River Tihu At D/S Of Industrial Areaa A Near Helochapara Shiva Temple,Assam,,"River Tihu At D/S Of Industrial Areaa A Near Helochapara Shiva Temple, Assam, India",30.8960287,75.8737288,26.45,93.0,1.65,Clouds,2,21.0,32.0,5.1,7.5,7.0,7.8,116.0,198.0,2.0,2.4,0.7,1.0,360.0,1500.0,910.0,3500.0,5.957692307692308,490.0,31.237735753299845,35.827686200027664,33.53271097666375
5608.0,River Kulsi At Kukurmara,Assam,,"River Kulsi At Kukurmara, Assam, India",26.0728879,91.4168974,28.03,94.0,0.0,Mist,3,19.0,33.0,5.3,9.2,6.8,7.4,90.0,118.0,2.0,2.5,0.6,0.9,360.0,940.0,1400.0,2000.0,5.957692307692308,290.0,29.76581933861446,31.53191608781401,30.648867713214237
5609.0,River Tunia At New Bongaigaon Railway Station,Assam,,"River Tunia At New Bongaigaon Railway Station, Assam, India",26.5110388,90.5193288,26.65,90.0,0.82,Clouds,3,22.0,35.0,5.0,5.8,7.0,7.4,132.0,156.0,2.0,2.6,0.6,1.2,300.0,1500.0,1100.0,2800.0,5.957692307692308,490.0,31.37110439734486,37.77741993962773,34.57426216848629
5611.0,River Mornoi At Mornoi Ghat,Assam,,"River Mornoi At Mornoi Ghat, Assam, India",26.1015487,90.7414002,26.78,88.0,2.64,Clouds,3,20.0,35.0,5.2,5.6,7.0,7.4,90.0,118.0,2.0,2.6,0.6,1.2,300.0,1100.0,610.0,2000.0,5.957692307692308,290.0,31.061195420273812,37.965061104519926,34.51312826239687
5613.0,River Doomdooma At D/S Of Doomdooma Town At Hansara,Assam,,"River Doomdooma At D/S Of Doomdooma Town At Hansara, Assam, India",27.5550417,95.5406714,25.06,97.0,1.54,Clouds,3,21.0,25.0,5.1,7.2,6.8,8.1,122.0,136.0,2.0,2.5,0.6,0.9,300.0,1500.0,720.0,3500.0,5.957692307692308,490.0,30.05449653527082,38.851152447438764,34.45282449135479
5614.0,River Bega At D/S Of Mangaldoi Town,Assam,,"River Bega At D/S Of Mangaldoi Town, Assam, India",26.44632,92.0322172,26.93,90.0,2.85,Clouds,3,18.0,32.0,5.0,5.8,7.0,7.5,92.0,122.0,2.4,3.4,0.6,0.9,730.0,1900.0,1500.0,3500.0,5.957692307692308,490.0,34.78983890186697,45.048037191082344,39.91893804647466
5615.0,"River Ghogra Near Iti, Srikona Main Block",Assam,,"River Ghogra Near Iti, Srikona Main Block, Assam, India",24.8351641,92.7157866,24.84,96.0,0.97,Clouds,3,19.0,24.0,5.5,6.3,7.0,7.2,103.0,134.0,2.0,2.5,0.6,0.9,360.0,2000.0,910.0,3500.0,5.957692307692308,490.0,30.617163973525997,35.161631987117836,32.88939798032192
5616.0,River Tunia At Nh Near Bgr,Assam,,"River Tunia At Nh Near Bgr, Assam, India",26.2006043,92.9375739,23.95,98.0,1.65,Clouds,3,22.0,35.0,4.3,5.6,7.0,7.5,126.0,150.0,2.1,2.7,0.7,1.0,730.0,1500.0,1500.0,3500.0,5.957692307692308,490.0,33.40543374220213,39.48382061900409,36.444627180603106
2275.0,"River Chapora Near Alorna Fort , Pernem",Goa,,"River Chapora Near Alorna Fort , Pernem, Goa, India",15.69676605021668,73.93138866540247,25.61,89.0,0.51,Clouds,6,26.0,32.0,6.3,8.7,6.8,7.6,52.0,1912.0,1.0,1.6,0.32,0.5,170.0,3300.0,220.0,7900.0,5.957692307692308,350.0,19.927989781828405,26.7630131907658,23.345501486297103
1543.0,River Kalna At Chandel,Goa,,"River Kalna At Chandel, Goa, India",15.7364742,73.8971826,24.71,89.0,0.67,Clouds,6,25.0,32.0,5.8,7.9,6.7,7.5,48.0,120.0,1.0,1.8,0.32,0.53,350.0,2300.0,540.0,3500.0,5.957692307692308,350.0,20.172757076281673,28.75327543408843,24.463016255185053
2270.0,"River Khandepar At Codli Near Bridge , U/S Opa Waterworks, Sanguem",Goa,,"River Khandepar At Codli Near Bridge , U/S Opa Waterworks, Sanguem, Goa, India",15.4106115,74.0542698,25.9,90.0,0.26,Clouds,6,28.0,34.0,6.7,7.6,6.6,7.7,45.0,120.0,1.0,1.8,0.32,1.02,230.0,2400.0,330.0,5400.0,49.0,540.0,18.167913100381554,30.4303676851506,24.299140392766077
1546.0,"River Khandepar At Opa - Ponda, Goa",Goa,,"River Khandepar At Opa - Ponda, Goa, Goa, India",15.4100219,74.0447003,25.63,90.0,0.26,Clouds,6,28.0,34.0,6.0,7.5,6.7,7.7,51.0,115.0,1.0,1.9,0.32,0.72,130.0,2300.0,220.0,4600.0,49.0,91.9023746701847,19.798205175019202,31.36420300261476,25.581204088816982
2272.0,"River Kushawati Near Bund At Kevona, Rivon, Sanguem",Goa,,"River Kushawati Near Bund At Kevona, Rivon, Sanguem, Goa, India",15.1383407,74.1334937,25.24,90.0,0.58,Clouds,6,27.0,30.0,5.5,8.0,6.6,8.1,56.0,208.0,1.0,2.1,0.32,0.4,120.0,1700.0,350.0,2200.0,5.957692307692308,580.0,19.986147104596906,34.36419730387018,27.17517220423354
1545.0,River Madei At Dabos,Goa,,"River Madei At Dabos, Goa, India",15.55954281170054,74.24727456269213,24.42,95.0,0.86,Clouds,6,25.0,30.0,6.0,8.3,6.6,7.7,50.0,145.0,1.0,2.0,0.32,0.36,95.31980715146645,2100.0,1100.0,2500.0,5.957692307692308,390.0,19.20991473483474,30.874322360131842,25.04211854748329
3185.0,River Mandovi At Amona Bridge,Goa,,"River Mandovi At Amona Bridge, Goa, India",15.5280787,73.9700896,25.99,88.0,0.6,Clouds,6,27.0,30.0,5.2,7.3,6.8,7.9,232.0,662.4912944738834,1.0,1.9,0.32,0.88,170.0,3300.0,230.0,4000.0,23.0,540.0,21.62453834255132,33.134106835762395,27.379322589156857
3186.0,River Mandovi At Iffi Jetty,Goa,,"River Mandovi At Iffi Jetty, Goa, India",15.50634873862439,73.91241629151692,25.99,94.0,2.06,Clouds,6,26.0,30.0,4.4,8.4,7.3,8.3,257.53576807228916,662.4912944738834,1.0,1.9,0.32,0.46,79.0,1300.0,110.0,3500.0,11.0,140.0,25.73420210156797,33.15102081719138,29.442611459379677
1400.0,River Mandovi At Panaji,Goa,,"River Mandovi At Panaji, Goa, India",15.5009538,73.8293928,25.94,94.0,2.06,Clouds,6,27.0,32.0,4.8,7.1,7.0,8.2,257.53576807228916,662.4912944738834,1.0,1.9,0.32,0.84,78.0,2300.0,130.0,4900.0,23.0,430.0,23.375168806491498,34.889528331039855,29.13234856876568
1476.0,River Mandovi At Tonca,Goa,,"River Mandovi At Tonca, Goa, India",15.4742434,73.8088221,25.97,94.0,2.06,Clouds,6,27.0,30.0,5.4,7.2,6.8,7.8,178.0,662.4912944738834,1.0,1.9,0.32,0.6,110.0,2200.0,110.0,3500.0,17.0,170.0,21.29795782799984,32.37026055305349,26.834109190526668
5102.0,River Mandovi Downstream At M/S Vedanta Pvt. Ltd.,Goa,,"River Mandovi Downstream At M/S Vedanta Pvt. Ltd., Goa, India",15.50634873862439,73.91241629151692,25.99,94.0,2.06,Clouds,6,26.0,34.0,4.7,7.4,6.8,7.9,186.0,662.4912944738834,1.0,2.1,0.32,1.02,45.0,4900.0,78.0,9200.0,8.0,91.9023746701847,22.358218258476562,35.11929493841808,28.73875659844732
3187.0,River Mandovi Near Hotel Marriot,Goa,,"River Mandovi Near Hotel Marriot, Goa, India",15.50634873862439,73.91241629151692,25.99,94.0,2.06,Clouds,6,26.0,30.0,4.2,6.9,6.7,8.3,257.53576807228916,662.4912944738834,1.0,1.9,0.32,0.56,49.0,3300.0,130.0,6300.0,20.0,330.0,22.550074890105623,36.068642238621706,29.309358564363663
5101.0,River Mandovi Upstream At M/S Vedanta Pvt. Ltd.,Goa,,"River Mandovi Upstream At M/S Vedanta Pvt. Ltd., Goa, India",15.50634873862439,73.91241629151692,25.99,94.0,2.06,Clouds,6,26.0,34.0,4.8,7.4,6.4,7.9,54.0,662.4912944738834,1.0,2.0,0.32,0.39,130.0,636.0863579474343,170.0,1565.5568332596197,5.957692307692308,91.9023746701847,19.906924641307043,32.98847297353989,26.447698807423468
10012.0,River Mandovi Upstream At Ribandar-Chodan Ferry,Goa,,"River Mandovi Upstream At Ribandar-Chodan Ferry, Goa, India",15.5055833,73.86418909999999,25.95,94.0,2.06,Clouds,6,27.0,32.0,5.6,7.3,6.9,8.1,257.53576807228916,662.4912944738834,1.0,1.9,0.32,0.48,70.0,1300.0,94.0,2300.0,33.0,350.0,21.558234477318678,33.683463877593546,27.620849177456112
2274.0,River Mapusa On Culvert On Highway Mapusa-Panaji,Goa,,"River Mapusa On Culvert On Highway Mapusa-Panaji, Goa, India",15.5901641,73.809958,25.92,86.0,3.15,Clouds,6,27.0,32.0,1.8,7.2,6.6,7.3,59.0,662.4912944738834,1.0,4.8,0.32,0.49,95.31980715146645,4900.0,2200.0,7900.0,5.957692307692308,91.9023746701847,25.690789855556726,54.12974213503358,39.910265995295156
3183.0,"River Sal At Khareband, Margao",Goa,,"River Sal At Khareband, Margao, Goa, India",15.2712944,73.9477234,25.96,94.0,2.06,Clouds,6,28.0,30.0,1.0,6.0,6.5,7.7,57.0,446.0,1.5,3.3000373692077725,0.32,7.41,95.31980715146645,636.0863579474343,395.1527835914609,1565.5568332596197,5.957692307692308,91.9023746701847,30.451423713761663,44.936580070411736,37.6940018920867
3184.0,"River Sal At Orlim Bridge, Orlim",Goa,,"River Sal At Orlim Bridge, Orlim, Goa, India",15.2199979,73.9576532,25.95,88.0,1.77,Clouds,6,28.0,31.0,2.7,6.5,6.1,7.9,109.0,662.4912944738834,1.0,5.5,0.32,0.86,680.0,3300.0,1100.0,5400.0,5.957692307692308,330.0,21.569472857524715,63.98332041976308,42.7763966386439
