Station Code,Monitoring Location,State,Temperature (°C) Min,Temperature (°C) Max,Dissolved Oxygen(mg/L) Min,Dissolved Oxygen(mg/L) Max,pH Min,pH Max,Conductivity(µmho/cm) Min,Conductivity(µmho/cm) Max,BOD(mg/L) Min,BOD(mg/L) Max,Nitrate N(mg/L) Min,Nitrate N(mg/L) Max,Fecal Coliform(MPN/100ml) Min,Fecal Coliform(MPN/100ml) Max,Total Coliform(MPN/100ml) Min,Total Coliform(MPN/100ml) Max,Fecal Streptococci(MPN/100ml) Min,Fecal Streptococci(MPN/100ml) Max,Type,full_address,Latitude,Longitude,Avg_Temp,Avg_Humidity,Avg_Wind,Weather_Main
4365.0,River Vasishta Godavari Upstream Of Narasapuram Town Before Confluence Of Town Sewage,Andhra Pradesh,24.0,32.0,5.4,8.1,6.1,8.4,154.0,36500.0,1.2,2.6,0.3,1.72,4.0,21.0,93.0,240.0,2.0,3.0,,"River Vasishta Godavari Upstream Of Narasapuram Town Before Confluence Of Town Sewage, Andhra Pradesh, India",16.4383259,81.7007115,29.55,70.0,0.49,Clouds
4366.0,River Vasishta Godavari Downstream Of Narasapuram Town After Confluence Of Town Sewage,Andhra Pradesh,22.0,32.0,5.0,7.2,7.5,8.2,345.0,46300.0,1.0,2.9,0.0,2.25,7.0,15.0,210.0,460.0,2.0,3.0,,"River Vasishta Godavari Downstream Of Narasapuram Town After Confluence Of Town Sewage, Andhra Pradesh, India",16.4383259,81.7007115,29.55,70.0,0.49,Clouds
5149.0,"River Bahuda At Ntr Jalasayam, Kalavagunta (V), Penumuru (M)",Andhra Pradesh,24.0,30.0,5.1,6.0,7.6,8.1,1039.0,1556.0,1.2,2.3,0.34,0.94,114.0,416.0,454.0,980.0,,,,"River Bahuda At Ntr Jalasayam, Kalavagunta (V), Penumuru (M), Andhra Pradesh, India",13.2832146,79.1329801,29.43,58.0,1.35,Clouds
5155.0,"River Yeleru At Yeleru Reservoir,Yeleswaram (V & M)",Andhra Pradesh,24.0,27.0,6.4,7.5,7.3,8.3,243.0,491.0,1.6,2.2,0.32,1.22,2.0,20.0,43.0,240.0,2.0,3.0,,"River Yeleru At Yeleru Reservoir,Yeleswaram (V & M), Andhra Pradesh, India",17.3281998,82.06795199999999,27.79,74.0,1.95,Clouds
5135.0,"River Aie Near Rakhaldubi Dist., Bongaigaon, Assam",Assam,20.0,33.0,5.1,5.5,6.8,7.4,130.0,178.0,2.0,2.6,0.6,1.3,360.0,730.0,1100.0,1500.0,95.0,290.0,,"River Aie Near Rakhaldubi Dist., Bongaigaon, Assam, Assam, India",26.4921493,90.6456444,27.23,87.0,1.0,Clouds
5138.0,"River, Tunia U/S Brpl, Dhaligaon, Dist. Chirang, Assam",Assam,21.0,35.0,4.4,5.4,6.9,7.5,130.0,168.0,2.0,2.7,0.6,2.1,360.0,720.0,910.0,1600.0,150.0,290.0,,"River, Tunia U/S Brpl, Dhaligaon, Dist. Chirang, Assam, Assam, India",26.4976984,90.521351,26.81,89.0,0.72,Clouds
5139.0,"River Jamuna At Doboka Near Bridge, Dist. Hojai",Assam,19.0,30.0,5.0,6.9,6.9,7.6,128.0,164.0,2.1,2.4,0.6,1.6,360.0,940.0,1100.0,2000.0,120.0,290.0,,"River Jamuna At Doboka Near Bridge, Dist. Hojai, Assam, India",26.0968806,92.74982680000001,25.47,98.0,1.72,Clouds
5140.0,"River Bondanjan, Sluice Gate, Birkuchi Narengi Tiniali, Kharghuli, No. 2",Assam,18.0,30.0,4.5,5.4,6.9,7.4,116.0,178.0,2.0,2.6,0.6,2.0,1500.0,2100.0,3400.0,3600.0,460.0,490.0,,"River Bondanjan, Sluice Gate, Birkuchi Narengi Tiniali, Kharghuli, No. 2, Assam, India",26.1862201,91.84402589999999,27.86,95.0,1.83,Clouds
5141.0,"River Basistha Basistha Chariali, Nutan Bazaar,",Assam,19.0,33.0,4.8,7.5,6.9,7.8,130.0,168.0,2.0,2.6,0.4,1.4,1500.0,2100.0,2800.0,3600.0,400.0,490.0,,"River Basistha Basistha Chariali, Nutan Bazaar,, Assam, India",26.1080728,91.7862885,27.86,96.0,1.24,Clouds
5142.0,"River Pamohi Gachuk, Pamohi Road, Guwahati",Assam,21.0,34.0,4.3,5.4,7.0,7.5,190.0,278.0,2.0,2.7,0.6,2.2,1400.0,2000.0,2400.0,3500.0,290.0,490.0,,"River Pamohi Gachuk, Pamohi Road, Guwahati, Assam, India",26.104228,91.6964542,27.99,94.0,0.0,Mist
5144.0,River Kalanadi Near Bamunjuli Bridge Crossing At Mangaldoi Bhutiachang,Assam,18.0,18.0,8.6,8.6,7.2,7.2,194.0,194.0,2.1,2.1,0.9,0.9,910.0,910.0,2000.0,2000.0,290.0,290.0,,"River Kalanadi Near Bamunjuli Bridge Crossing At Mangaldoi Bhutiachang, Assam, India",26.7838327,91.8438858,26.22,89.0,0.8,Clouds
3791.0,"River Kaliani Near Kanaighat Bridge, Kanaighat",Assam,19.0,31.0,5.8,9.8,7.0,7.7,120.0,148.0,2.0,2.6,0.5,2.0,360.0,730.0,910.0,1500.0,120.0,240.0,,"River Kaliani Near Kanaighat Bridge, Kanaighat, Assam, India",26.2006043,92.9375739,23.95,98.0,1.65,Clouds
3796.0,River Kuji (Near New Bogagigaon) Near Water Intake Point For Nf Railway,Assam,20.0,36.0,5.2,6.1,6.8,7.3,140.0,182.0,2.0,2.6,0.6,2.0,360.0,1100.0,1100.0,2100.0,150.0,290.0,,"River Kuji (Near New Bogagigaon) Near Water Intake Point For Nf Railway, Assam, India",26.2006043,92.9375739,23.95,98.0,1.65,Clouds
3797.0,River Manas (Santoshpur) Near Lengtisinga,Assam,19.0,34.0,5.2,5.6,6.8,7.6,132.0,146.0,2.0,2.7,0.6,1.6,600.0,910.0,1100.0,2100.0,210.0,290.0,,"River Manas (Santoshpur) Near Lengtisinga, Assam, India",26.3201097,90.73664889999999,28.14,81.0,2.76,Clouds
3799.0,River Killing In Morigaon District,Assam,16.0,32.0,5.2,10.9,6.9,7.4,84.0,108.0,1.8,2.5,0.6,1.9,300.0,1100.0,910.0,2100.0,95.0,490.0,,"River Killing In Morigaon District, Assam, India",26.2599654,92.2630393,25.97,94.0,2.28,Clouds
3810.0,River Kulsi At Chaygaon Near Nh37 Crossing,Assam,20.0,34.0,5.9,9.1,7.1,7.8,96.0,122.0,2.3,2.7,0.7,2.0,610.0,1100.0,1100.0,2100.0,210.0,290.0,,"River Kulsi At Chaygaon Near Nh37 Crossing, Assam, India",26.0164894,91.3216731,28.01,94.0,1.05,Clouds
3811.0,River Puthimari Near Puthimari Chowk At Nh Crossing,Assam,19.0,34.0,5.7,8.3,7.0,8.0,140.0,178.0,2.1,2.7,0.6,1.2,620.0,930.0,1400.0,2300.0,210.0,290.0,,"River Puthimari Near Puthimari Chowk At Nh Crossing, Assam, India",26.3610943,91.66270910000001,27.99,89.0,2.44,Clouds
4344.0,"River Tihu (Near Bridge Along Nh-31) Tihu, Nalbari",Assam,20.0,32.0,5.0,8.7,6.8,7.7,105.0,146.0,2.0,2.5,0.6,1.0,610.0,930.0,1400.0,2000.0,210.0,290.0,,"River Tihu (Near Bridge Along Nh-31) Tihu, Nalbari, Assam, India",26.475753,91.2674411,27.23,87.0,3.2,Clouds
4345.0,"River Singra (Near Bridge Along Nh-37) Boko, Kamrup",Assam,19.0,34.0,5.5,10.4,6.9,7.3,102.0,118.0,2.0,2.5,0.6,1.8,360.0,940.0,910.0,2100.0,120.0,240.0,,"River Singra (Near Bridge Along Nh-37) Boko, Kamrup, Assam, India",26.0164894,91.3216731,28.01,94.0,1.05,Clouds
5599.0,River Gadadhar At Golkganj Bridge,Assam,17.0,32.0,5.3,5.6,6.8,7.4,120.0,140.0,2.0,2.3,0.6,1.0,360.0,1100.0,1100.0,2000.0,120.0,290.0,,"River Gadadhar At Golkganj Bridge, Assam, India",26.3100825,89.8294313,26.55,91.0,1.55,Clouds
5600.0,River Namdang Near Bridge At Hati Patty Geleky,Assam,18.0,31.0,5.0,6.6,6.5,7.0,132.0,208.0,1.7,2.5,0.6,1.1,300.0,360.0,720.0,910.0,100.0,140.0,,"River Namdang Near Bridge At Hati Patty Geleky, Assam, India",26.95013096262448,94.54600366876429,26.08,91.0,2.13,Clouds
5601.0,River Namdang At Kalugaon,Assam,18.0,30.0,5.1,7.2,6.5,7.2,118.0,188.0,2.1,2.6,0.7,1.0,300.0,720.0,730.0,1400.0,100.0,260.0,,"River Namdang At Kalugaon, Assam, India",26.95013096262448,94.54600366876429,26.08,91.0,2.13,Clouds
5602.0,"River Kapili At Kheroni Ghat Near Bridge, West Karbi Anglong , Kheroni",Assam,22.0,29.0,5.3,8.0,6.8,7.6,118.0,142.0,2.2,2.5,0.6,0.9,720.0,930.0,1400.0,2000.0,120.0,460.0,,"River Kapili At Kheroni Ghat Near Bridge, West Karbi Anglong , Kheroni, Assam, India",25.8532698,92.8826534,25.14,96.0,2.23,Clouds
5603.0,"River Daloo At Daloo, Cachar",Assam,22.0,28.0,5.0,5.6,7.2,7.4,128.0,142.0,2.1,2.7,0.6,1.0,300.0,930.0,620.0,2000.0,95.0,290.0,,"River Daloo At Daloo, Cachar, Assam, India",24.92214,92.740791,24.78,96.0,1.1,Clouds
5604.0,"River Ego (Simen) Near Simenchapori Bridge,Dhemaji",Assam,22.0,24.0,5.8,8.6,7.0,8.0,148.0,198.0,2.0,2.3,0.6,0.8,300.0,910.0,620.0,2000.0,95.0,290.0,,"River Ego (Simen) Near Simenchapori Bridge,Dhemaji, Assam, India",27.7083775,94.861239,26.95,97.0,0.93,Clouds
5605.0,River Disang At Nangalmara Ghat,Assam,17.0,29.0,5.5,7.4,7.0,7.5,126.0,176.0,1.8,2.5,0.7,1.1,360.0,910.0,730.0,2800.0,130.0,350.0,,"River Disang At Nangalmara Ghat, Assam, India",27.08399123711797,94.94710556010504,25.84,93.0,1.35,Clouds
5606.0,River Dikhow At Simaluguri,Assam,20.0,29.0,6.5,7.9,7.0,7.8,120.0,156.0,1.6,2.7,0.6,1.0,720.0,1100.0,1400.0,2800.0,130.0,420.0,,"River Dikhow At Simaluguri, Assam, India",26.9130228,94.73713099999999,26.05,92.0,1.27,Rain
5607.0,River Tihu At D/S Of Industrial Areaa A Near Helochapara Shiva Temple,Assam,21.0,32.0,5.1,7.5,7.0,7.8,116.0,198.0,2.0,2.4,0.7,1.0,360.0,1500.0,910.0,3500.0,120.0,490.0,,"River Tihu At D/S Of Industrial Areaa A Near Helochapara Shiva Temple, Assam, India",30.8960287,75.8737288,26.45,93.0,1.65,Clouds
5608.0,River Kulsi At Kukurmara,Assam,19.0,33.0,5.3,9.2,6.8,7.4,90.0,118.0,2.0,2.5,0.6,0.9,360.0,940.0,1400.0,2000.0,120.0,290.0,,"River Kulsi At Kukurmara, Assam, India",26.0728879,91.4168974,28.03,94.0,0.0,Mist
5609.0,River Tunia At New Bongaigaon Railway Station,Assam,22.0,35.0,5.0,5.8,7.0,7.4,132.0,156.0,2.0,2.6,0.6,1.2,300.0,1500.0,1100.0,2800.0,120.0,490.0,,"River Tunia At New Bongaigaon Railway Station, Assam, India",26.5110388,90.5193288,26.65,90.0,0.82,Clouds
5611.0,River Mornoi At Mornoi Ghat,Assam,20.0,35.0,5.2,5.6,7.0,7.4,90.0,118.0,2.0,2.6,0.6,1.2,300.0,1100.0,610.0,2000.0,95.0,290.0,,"River Mornoi At Mornoi Ghat, Assam, India",26.1015487,90.7414002,26.78,88.0,2.64,Clouds
5613.0,River Doomdooma At D/S Of Doomdooma Town At Hansara,Assam,21.0,25.0,5.1,7.2,6.8,8.1,122.0,136.0,2.0,2.5,0.6,0.9,300.0,1500.0,720.0,3500.0,120.0,490.0,,"River Doomdooma At D/S Of Doomdooma Town At Hansara, Assam, India",27.5550417,95.5406714,25.06,97.0,1.54,Clouds
5614.0,River Bega At D/S Of Mangaldoi Town,Assam,18.0,32.0,5.0,5.8,7.0,7.5,92.0,122.0,2.4,3.4,0.6,0.9,730.0,1900.0,1500.0,3500.0,210.0,490.0,,"River Bega At D/S Of Mangaldoi Town, Assam, India",26.44632,92.03221719999999,26.93,90.0,2.85,Clouds
5615.0,"River Ghogra Near Iti, Srikona Main Block",Assam,19.0,24.0,5.5,6.3,7.0,7.2,103.0,134.0,2.0,2.5,0.6,0.9,360.0,2000.0,910.0,3500.0,95.0,490.0,,"River Ghogra Near Iti, Srikona Main Block, Assam, India",24.8351641,92.7157866,24.84,96.0,0.97,Clouds
5616.0,River Tunia At Nh Near Bgr,Assam,22.0,35.0,4.3,5.6,7.0,7.5,126.0,150.0,2.1,2.7,0.7,1.0,730.0,1500.0,1500.0,3500.0,210.0,490.0,,"River Tunia At Nh Near Bgr, Assam, India",26.2006043,92.9375739,23.95,98.0,1.65,Clouds
2275.0,"River Chapora Near Alorna Fort , Pernem",Goa,26.0,32.0,6.3,8.7,6.8,7.6,52.0,1912.0,1.0,1.6,0.32,0.5,170.0,3300.0,220.0,7900.0,70.0,350.0,,"River Chapora Near Alorna Fort , Pernem, Goa, India",15.69676605021668,73.93138866540247,25.61,89.0,0.51,Clouds
1543.0,River Kalna At Chandel,Goa,25.0,32.0,5.8,7.9,6.7,7.5,48.0,120.0,1.0,1.8,0.32,0.53,350.0,2300.0,540.0,3500.0,68.0,350.0,,"River Kalna At Chandel, Goa, India",15.7364742,73.8971826,24.71,89.0,0.67,Clouds
2270.0,"River Khandepar At Codli Near Bridge , U/S Opa Waterworks, Sanguem",Goa,28.0,34.0,6.7,7.6,6.6,7.7,45.0,120.0,1.0,1.8,0.32,1.02,230.0,2400.0,330.0,5400.0,49.0,540.0,,"River Khandepar At Codli Near Bridge , U/S Opa Waterworks, Sanguem, Goa, India",15.4106115,74.0542698,25.9,90.0,0.26,Clouds
1546.0,"River Khandepar At Opa - Ponda, Goa",Goa,28.0,34.0,6.0,7.5,6.7,7.7,51.0,115.0,1.0,1.9,0.32,0.72,130.0,2300.0,220.0,4600.0,49.0,920.0,,"River Khandepar At Opa - Ponda, Goa, Goa, India",15.4100219,74.0447003,25.63,90.0,0.26,Clouds
2272.0,"River Kushawati Near Bund At Kevona, Rivon, Sanguem",Goa,27.0,30.0,5.5,8.0,6.6,8.1,56.0,208.0,1.0,2.1,0.32,0.4,120.0,1700.0,350.0,2200.0,70.0,580.0,,"River Kushawati Near Bund At Kevona, Rivon, Sanguem, Goa, India",15.1383407,74.1334937,25.24,90.0,0.58,Clouds
1545.0,River Madei At Dabos,Goa,25.0,30.0,6.0,8.3,6.6,7.7,50.0,145.0,1.0,2.0,0.32,0.36,780.0,2100.0,1100.0,2500.0,94.0,390.0,,"River Madei At Dabos, Goa, India",15.55954281170054,74.24727456269213,24.42,95.0,0.86,Clouds
3185.0,River Mandovi At Amona Bridge,Goa,27.0,30.0,5.2,7.3,6.8,7.9,232.0,43600.0,1.0,1.9,0.32,0.88,170.0,3300.0,230.0,4000.0,23.0,540.0,,"River Mandovi At Amona Bridge, Goa, India",15.5280787,73.9700896,25.99,88.0,0.6,Clouds
3186.0,River Mandovi At Iffi Jetty,Goa,26.0,30.0,4.4,8.4,7.3,8.3,9461.0,53280.0,1.0,1.9,0.32,0.46,79.0,1300.0,110.0,3500.0,11.0,140.0,,"River Mandovi At Iffi Jetty, Goa, India",15.50634873862439,73.91241629151692,25.99,94.0,2.06,Clouds
1400.0,River Mandovi At Panaji,Goa,27.0,32.0,4.8,7.1,7.0,8.2,3671.0,58390.0,1.0,1.9,0.32,0.84,78.0,2300.0,130.0,4900.0,23.0,430.0,,"River Mandovi At Panaji, Goa, India",15.5009538,73.8293928,25.94,94.0,2.06,Clouds
1476.0,River Mandovi At Tonca,Goa,27.0,30.0,5.4,7.2,6.8,7.8,178.0,44110.0,1.0,1.9,0.32,0.6,110.0,2200.0,110.0,3500.0,17.0,170.0,,"River Mandovi At Tonca, Goa, India",15.4742434,73.8088221,25.97,94.0,2.06,Clouds
5102.0,River Mandovi Downstream At M/S Vedanta Pvt. Ltd.,Goa,26.0,34.0,4.7,7.4,6.8,7.9,186.0,43600.0,1.0,2.1,0.32,1.02,45.0,4900.0,78.0,9200.0,8.0,700.0,,"River Mandovi Downstream At M/S Vedanta Pvt. Ltd., Goa, India",15.50634873862439,73.91241629151692,25.99,94.0,2.06,Clouds
3187.0,River Mandovi Near Hotel Marriot,Goa,26.0,30.0,4.2,6.9,6.7,8.3,9933.0,53520.0,1.0,1.9,0.32,0.56,49.0,3300.0,130.0,6300.0,20.0,330.0,,"River Mandovi Near Hotel Marriot, Goa, India",15.50634873862439,73.91241629151692,25.99,94.0,2.06,Clouds
5101.0,River Mandovi Upstream At M/S Vedanta Pvt. Ltd.,Goa,26.0,34.0,4.8,7.4,6.4,7.9,54.0,41560.0,1.0,2.0,0.32,0.39,130.0,35000.0,170.0,92000.0,79.0,3500.0,,"River Mandovi Upstream At M/S Vedanta Pvt. Ltd., Goa, India",15.50634873862439,73.91241629151692,25.99,94.0,2.06,Clouds
10012.0,River Mandovi Upstream At Ribandar-Chodan Ferry,Goa,27.0,32.0,5.6,7.3,6.9,8.1,1283.0,57260.0,1.0,1.9,0.32,0.48,70.0,1300.0,94.0,2300.0,33.0,350.0,,"River Mandovi Upstream At Ribandar-Chodan Ferry, Goa, India",15.5055833,73.86418909999999,25.95,94.0,2.06,Clouds
2274.0,River Mapusa On Culvert On Highway Mapusa-Panaji,Goa,27.0,32.0,1.8,7.2,6.6,7.3,59.0,8089.0,1.0,4.8,0.32,0.49,1300.0,4900.0,2200.0,7900.0,170.0,790.0,,"River Mapusa On Culvert On Highway Mapusa-Panaji, Goa, India",15.5901641,73.809958,25.92,86.0,3.15,Clouds
3183.0,"River Sal At Khareband, Margao",Goa,28.0,30.0,1.0,6.0,6.5,7.7,57.0,446.0,1.5,25.4,0.32,7.41,2400.0,11000.0,4900.0,22000.0,490.0,1400.0,,"River Sal At Khareband, Margao, Goa, India",15.2712944,73.9477234,25.96,94.0,2.06,Clouds
3184.0,"River Sal At Orlim Bridge, Orlim",Goa,28.0,31.0,2.7,6.5,6.1,7.9,109.0,20240.0,1.0,5.5,0.32,0.86,680.0,3300.0,1100.0,5400.0,70.0,330.0,,"River Sal At Orlim Bridge, Orlim, Goa, India",15.2199979,73.9576532,25.95,88.0,1.77,Clouds
3176.0,River Sal At Rumder,Goa,27.0,31.0,1.3,6.1,6.4,7.5,92.0,276.0,1.0,8.0,0.32,1.34,130.0,13000.0,230.0,35000.0,94.0,490.0,,"River Sal At Rumder, Goa, India",15.1819391,73.9631674,25.98,88.0,1.9,Clouds
2273.0,"River Sal Near Hotel Leela Mobor, Cavelossim",Goa,28.0,32.0,4.5,7.8,7.2,8.4,608.0,50770.0,1.0,1.9,0.32,0.78,78.0,3300.0,230.0,4700.0,70.0,700.0,,"River Sal Near Hotel Leela Mobor, Cavelossim, Goa, India",15.1819391,73.9631674,25.98,88.0,1.9,Clouds
2271.0,"River Sal Pazorkhoni, Cuncolim(Near Culvert Margao- Canacona National Highway)",Goa,26.0,30.0,4.6,7.0,6.3,7.5,38.0,110.0,1.0,1.9,0.32,0.62,780.0,4900.0,1300.0,9400.0,92.0,790.0,,"River Sal Pazorkhoni, Cuncolim(Near Culvert Margao- Canacona National Highway), Goa, India",15.2021754,73.9976946,25.92,88.0,1.44,Clouds
3190.0,River Sinquerim (Candolim Side Near Bridge),Goa,26.0,31.0,4.4,7.3,7.0,8.0,20980.0,50780.0,1.0,1.9,0.32,0.32,700.0,2300.0,940.0,5400.0,79.0,490.0,,"River Sinquerim (Candolim Side Near Bridge), Goa, India",15.5012802,73.77146429999999,25.92,94.0,2.06,Clouds
3191.0,River Sinquerim Near Nerul Temple,Goa,26.0,31.0,4.7,7.8,7.0,7.9,22510.0,50950.0,1.0,1.9,0.32,0.37,330.0,4900.0,490.0,13000.0,110.0,540.0,,"River Sinquerim Near Nerul Temple, Goa, India",15.5012802,73.77146429999999,25.92,94.0,2.06,Clouds
1547.0,"River Talpona At Canacona, Goa",Goa,28.0,31.0,5.2,7.6,6.6,8.4,32.0,100.0,1.0,1.9,0.32,0.34,78.0,1400.0,230.0,2200.0,49.0,210.0,,"River Talpona At Canacona, Goa, Goa, India",14.99825304806322,74.08067585485401,25.66,89.0,1.75,Clouds
3188.0,River Tiracol At Tiracol,Goa,26.0,31.0,4.1,8.0,7.1,8.1,5609.0,62530.0,1.0,1.9,0.32,0.81,94.0,9400.0,170.0,14000.0,40.0,3500.0,,"River Tiracol At Tiracol, Goa, India",15.724725,73.6881956,26.19,86.0,3.34,Clouds
1544.0,River Valvanti At Sanquelim,Goa,24.0,30.0,6.0,8.1,6.5,7.6,37.0,77.0,1.0,1.4,0.32,0.82,780.0,3100.0,1500.0,4600.0,92.0,330.0,,"River Valvanti At Sanquelim, Goa, India",15.557504,74.0158727,25.17,89.0,0.07,Clouds
3181.0,River Zuari At Borim Bridge,Goa,26.0,31.0,4.3,7.1,6.4,7.4,295.0,36650.0,1.0,2.2,0.32,1.44,450.0,3300.0,780.0,5400.0,68.0,490.0,,"River Zuari At Borim Bridge, Goa, India",15.24238397256011,74.14161250065683,25.05,91.0,0.24,Clouds
1399.0,River Zuari At Cortalim,Goa,27.0,31.0,4.6,7.1,6.7,7.9,3513.0,57490.0,1.0,1.8,0.32,1.44,200.0,4900.0,330.0,7900.0,45.0,940.0,,"River Zuari At Cortalim, Goa, India",15.24238397256011,74.14161250065683,25.05,91.0,0.24,Clouds
3182.0,River Zuari At Marcaim Jetty,Goa,27.0,34.0,4.4,7.0,7.0,8.0,2136.0,55450.0,1.0,1.9,0.32,0.75,230.0,3300.0,490.0,7900.0,17.0,540.0,,"River Zuari At Marcaim Jetty, Goa, India",15.24238397256011,74.14161250065683,25.05,91.0,0.24,Clouds
1475.0,River Zuari At Panchawadi,Goa,27.0,32.0,4.3,7.0,6.5,7.3,81.0,21090.0,1.0,2.1,0.32,1.74,230.0,3500.0,330.0,9200.0,14.0,920.0,,"River Zuari At Panchawadi, Goa, India",15.24238397256011,74.14161250065683,25.05,91.0,0.24,Clouds
1148.0,River Ambika At Bilimora,Gujarat,28.0,31.0,6.0,7.3,7.4,8.4,248.0,46420.0,1.4,2.6,0.34,0.39,6.0,17.0,22.0,48.0,,,,"River Ambika At Bilimora, Gujarat, India",20.7577758,72.9488697,26.4,88.0,4.58,Clouds
